Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1970,-0.02,0.27,-0.07,-0.02,-0.01,0.01,-0.04,-0.05,-0.05,-0.2,0.01,-0.31,-0.04,0.01,0.18,-0.03,-0.03,-0.08
1971,-0.14,-0.21,-0.28,-0.2,-0.12,-0.14,-0.13,-0.16,-0.14,-0.16,-0.02,-0.14,-0.15,-0.17,-0.22,-0.2,-0.14,-0.1
1972,-0.54,-0.52,0.01,-0.11,-0.15,-0.09,-0.05,-0.08,-0.26,-0.04,-0.19,-0.04,-0.17,-0.18,-0.4,-0.09,-0.08,-0.16
1973,0.16,0.44,0.32,0.19,0.09,0.17,0.04,0.03,-0.08,-0.07,-0.1,-0.04,0.1,0.1,0.19,0.2,0.08,-0.08
1974,-0.25,-0.35,0.03,-0.09,-0.19,-0.18,-0.12,-0.11,-0.16,-0.23,-0.2,-0.27,-0.18,-0.16,-0.21,-0.09,-0.14,-0.2
1975,0.16,0.09,0.1,0.05,-0.02,-0.08,-0.06,-0.13,-0.07,-0.18,-0.3,-0.22,-0.05,-0.06,0,0.05,-0.09,-0.18
1976,0.05,-0.12,-0.31,0.02,-0.26,-0.2,-0.26,-0.21,-0.12,-0.51,-0.31,-0.25,-0.21,-0.2,-0.1,-0.18,-0.22,-0.31
1977,-0.16,0.11,0.27,0.25,0.23,0.23,0.08,0.02,0.13,-0.02,0.27,0.02,0.12,0.1,-0.1,0.25,0.11,0.13
1978,0.16,0.04,0.21,0.07,-0.06,-0.14,-0.07,-0.14,-0.01,0,0.16,0.02,0.02,0.02,0.07,0.08,-0.12,0.05
1979,-0.05,-0.35,0.18,-0.17,0.01,0.08,0.05,0.04,0.19,0.23,0.24,0.55,0.08,0.04,-0.13,0.01,0.06,0.22
1980,0.21,0.41,0.07,0.15,0.26,0.19,0.14,0.09,0.1,0.11,0.2,0.09,0.17,0.21,0.39,0.16,0.14,0.14
1981,0.79,0.63,0.67,0.39,0.18,0.28,0.09,0.16,0.14,0.23,0.35,0.54,0.37,0.33,0.5,0.41,0.18,0.24
