,Year,Period,Mean Land-Ocean Temp (Celsius)
377,1977,JUL THRU SEP,8.0
378,1978,JUL THRU SEP,-7.0
379,1979,JUL THRU SEP,9.0
380,1980,JUL THRU SEP,11.0
381,1981,JUL THRU SEP,13.0
382,1982,JUL THRU SEP,1.0
383,1983,JUL THRU SEP,24.0
384,1984,JUL THRU SEP,4.0
385,1985,JUL THRU SEP,-2.0
386,1986,JUL THRU SEP,0.0
387,1987,JUL THRU SEP,30.0
388,1988,JUL THRU SEP,31.0
389,1989,JUL THRU SEP,27.0
390,1990,JUL THRU SEP,38.0
391,1991,JUL THRU SEP,37.0
392,1992,JUL THRU SEP,-12.0
393,1993,JUL THRU SEP,3.0
394,1994,JUL THRU SEP,33.0
395,1995,JUL THRU SEP,44.0
396,1996,JUL THRU SEP,17.0
397,1997,JUL THRU SEP,47.0
398,1998,JUL THRU SEP,69.0
399,1999,JUL THRU SEP,35.0
400,2000,JUL THRU SEP,42.0
401,2001,JUL THRU SEP,63.0
402,2002,JUL THRU SEP,61.0
403,2003,JUL THRU SEP,77.0
404,2004,JUL THRU SEP,55.0
405,2005,JUL THRU SEP,78.0
406,2006,JUL THRU SEP,73.0
407,2007,JUL THRU SEP,69.0
408,2008,JUL THRU SEP,59.0
409,2009,JUL THRU SEP,75.0
410,2010,JUL THRU SEP,82.0
411,2011,JUL THRU SEP,73.0
412,2012,JUL THRU SEP,82.0
413,2013,JUL THRU SEP,71.0
414,2014,JUL THRU SEP,83.0
415,2015,JUL THRU SEP,103.0
416,2016,JUL THRU SEP,112.0
417,2017,JUL THRU SEP,99.0
418,2018,JUL THRU SEP,91.0
419,2019,JUL THRU SEP,111.0
420,1880,OCT THRU DEC,-36.0
421,1881,OCT THRU DEC,-38.0
422,1882,OCT THRU DEC,-41.0
423,1883,OCT THRU DEC,-30.0
424,1884,OCT THRU DEC,-49.0
425,1885,OCT THRU DEC,-34.0
426,1886,OCT THRU DEC,-32.0
427,1887,OCT THRU DEC,-35.0
428,1888,OCT THRU DEC,2.0
429,1889,OCT THRU DEC,-50.0
430,1890,OCT THRU DEC,-35.0
431,1891,OCT THRU DEC,-38.0
